
H4PE33	S26Q33 AVOID CONFRONTING PROBLEMS-W4

			Freq.	Percent	Valid	Cum.
Valid	1	Strongly agree	151	2.95	2.96	2.96
	2	Agree	814	15.92	15.96	18.93
	3	Neither agree nor disagree	1040	20.34	20.40	39.32
	4	Disagree	2636	51.55	51.70	91.02
	5	Strongly disagree	458	8.96	8.98	100.00
	Total		5099	99.73	100.00	
Missing	.		1	0.02		
	.d		8	0.16		
	.r		5	0.10		
	Total		14	0.27		
Total			5113	100.00		



H4PE34	S26Q34 RELY ON GUT FEELINGS DECISIONS-W4

			Freq.	Percent	Valid	Cum.
Valid	1	Strongly agree	206	4.03	4.04	4.04
	2	Agree	945	18.48	18.54	22.58
	3	Neither agree nor disagree	890	17.41	17.46	40.04
	4	Disagree	2486	48.62	48.77	88.82
	5	Strongly disagree	570	11.15	11.18	100.00
	Total		5097	99.69	100.00	
Missing	.		1	0.02		
	.d		8	0.16		
	.r		7	0.14		
	Total		16	0.31		
Total			5113	100.00		



H4PE35	S26Q35 LIKE TO TAKE RISKS-W4

			Freq.	Percent	Valid	Cum.
Valid	1	Strongly agree	238	4.65	4.67	4.67
	2	Agree	1571	30.73	30.80	35.46
	3	Neither agree nor disagree	1394	27.26	27.33	62.79
	4	Disagree	1655	32.37	32.44	95.24
	5	Strongly disagree	243	4.75	4.76	100.00
	Total		5101	99.77	100.00	
Missing	.		1	0.02		
	.d		6	0.12		
	.r		5	0.10		
	Total		12	0.23		
Total			5113	100.00		



H4PE36	S26Q36 LIVE W/O THOUGHT FOR FUTURE-W4

			Freq.	Percent	Valid	Cum.
Valid	1	Strongly agree	51	1.00	1.00	1.00
	2	Agree	311	6.08	6.10	7.10
	3	Neither agree nor disagree	473	9.25	9.27	16.37
	4	Disagree	3130	61.22	61.37	77.75
	5	Strongly disagree	1135	22.20	22.25	100.00
	Total		5100	99.75	100.00	
Missing	.		1	0.02		
	.d		7	0.14		
	.r		5	0.10		
	Total		13	0.25		
Total			5113	100.00		



H4PE40	S26Q40 LOW CONTRL EVENTS HAPPEN TO ME-W4

			Freq.	Percent	Valid	Cum.
Valid	1	Strongly agree	44	0.86	0.86	0.86
	2	Agree	271	5.30	5.32	6.18
	3	Neither agree nor disagree	639	12.50	12.54	18.72
	4	Disagree	3196	62.51	62.73	81.45
	5	Strongly disagree	945	18.48	18.55	100.00
	Total		5095	99.65	100.00	
Missing	.		1	0.02		
	.d		10	0.20		
	.r		7	0.14		
	Total		18	0.35		
Total			5113	100.00		



H1GH39	S3Q39 WEAR HELMET WHILE CYCLING-W1

			Freq.	Percent	Valid	Cum.
Valid	0	Never	3010	58.87	58.93	58.93
	1	Rarely	189	3.70	3.70	62.63
	2	Sometimes	146	2.86	2.86	65.49
	3	Most of the time	132	2.58	2.58	68.07
	4	Always	168	3.29	3.29	71.36
	5	Never rides a bicycle	1463	28.61	28.64	100.00
	Total		5108	99.90	100.00	
Missing	.d		3	0.06		
