Variable,Insured mean,sd,N,Voluntarily uninsured mean,sd,N,Non-voluntarily uninsured mean,sd,N,Overall mean,sd,N,
ins_num_mos12, 11.091951, 2.5633095,      4013, 1.7019868, 3.6236164,       151,  2.219163, 3.7338977,       908, 9.2239748, 4.6165437,      5072,
diag_cancer, .01145133, .10640967,      4017, .01315789, .11432741,       152, .01208791, .10933861,       910, .01161646, .10716239,      5079,
diag_hi_chol, .08966376, .28573503,      4015, .03947368, .19536276,       152, .05384615, .22583798,       910, .08174119, .27399699,      5077,
diag_hi_bpressure, .10906375, .31175799,      4016, .10526316, .30790673,       152, .10451045,    .30609,       909, .10813473, .31058108,      5077,
diag_diabetes, .02813745, .16538605,      4016, .02631579, .16060187,       152, .03516484, .18429757,       910, .02934226, .16878063,      5078,
diag_hart_disease, .00771912, .08752969,      4016,         0,         0,       152, .01208791, .10933861,       910, .00827097, .09057693,      5078,
diag_asthma, .14790837, .35505334,      4016,      .125,  .3318122,       152, .18461538, .38819859,       910, .15380071, .36079313,      5078,
diag_migraines,  .1563745, .36325525,      4016, .06578947, .24873328,       152, .16373626, .37023956,       910, .15498228, .36192343,      5078,
diag_depression, .15861554, .36536268,      4016, .15131579, .35954107,       152, .17802198,  .3827416,       910, .16187475, .36837215,      5078,
diag_ptsd, .02963147, .16958954,      4016, .02631579, .16060187,       152, .04065934, .19760837,       910, .03150847, .17470459,      5078,
diag_anxiety, .12599602,  .3318862,      4016, .06578947, .24873328,       152, .13186813, .33853341,       910, .12524616, .33103042,      5078,
diag_epilepsy, .01394422, .11727407,      4016, .01315789, .11432741,       152, .01318681, .11413692,       910, .01378495, .11660878,      5078,
diag_adhd, .04780876, .21338797,      4016, .01973684, .13955439,       152, .08461538, .27846154,       910,  .0535644, .22517823,      5078,
diag_hepc, .00050239, .02241116,      3981,         0,         0,       150, .00554324, .07428747,       902, .00139082, .03727147,      5033,
limit_moderate, 1.1142644, .38476743,      4017, 1.0986842, .41110203,       152, 1.1309131, .42423985,       909, 1.1167783, .39290299,      5078,
