	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)
VARIABLES	Insured	Voluntary_Uninsured	Non_voluntary_Uninsured	Insured	Voluntary_Uninsured	Non_voluntary_Uninsured	Insured	Voluntary_Uninsured	Non_voluntary_Uninsured
									
pers_risky		1.200	1.070		1.291**	1.105*		1.292**	1.104*
		(0.118)	(0.0484)		(0.117)	(0.0468)		(0.118)	(0.0471)
gen_health		1.106	0.891*		1.089	0.875**		1.107	0.887*
		(0.119)	(0.0443)		(0.106)	(0.0406)		(0.108)	(0.0416)
injury_past12		1.313	1.180		1.346	1.181		1.348	1.182
		(0.328)	(0.142)		(0.310)	(0.133)		(0.312)	(0.135)
rent_own		0.772	0.631**		0.633*	0.539**		0.715	0.590**
		(0.158)	(0.0604)		(0.122)	(0.0490)		(0.141)	(0.0549)
2.education		0.215	0.753		0.245	0.484		0.284	0.556
		(0.207)	(0.552)		(0.223)	(0.289)		(0.261)	(0.334)
3.education		0.143*	0.561		0.130*	0.335		0.166*	0.409
		(0.136)	(0.408)		(0.118)	(0.198)		(0.152)	(0.244)
4.education		0.197	0.415		0.201	0.243*		0.268	0.308
		(0.198)	(0.311)		(0.190)	(0.150)		(0.256)	(0.191)
5.education		0.0805*	0.399		0.0613**	0.218*		0.0842*	0.280*
		(0.0838)	(0.295)		(0.0611)	(0.132)		(0.0847)	(0.171)
6.education		0.130*	0.342		0.123*	0.185**		0.172	0.241*
		(0.123)	(0.248)		(0.110)	(0.109)		(0.156)	(0.144)
7.education		0.109*	0.161*		0.0963*	0.0847**		0.146*	0.116**
		(0.106)	(0.119)		(0.0883)	(0.0509)		(0.136)	(0.0704)
8.education		0.116*	0.180*		0.0871*	0.0846**		0.128*	0.114**
		(0.125)	(0.139)		(0.0898)	(0.0548)		(0.134)	(0.0745)
9.education		0.0217**	0.0950**		0.0167**	0.0504**		0.0247**	0.0687**
		(0.0300)	(0.0758)		(0.0225)	(0.0337)		(0.0335)	(0.0463)
10.education		1.46e-08	0.116*		5.56e-08	0.0744**		3.96e-08	0.102**
		(4.08e-05)	(0.110)		(7.14e-05)	(0.0590)		(7.42e-05)	(0.0812)
11.education		1.19e-08	2.68e-08		4.62e-08	6.28e-08		3.15e-08	3.73e-08
		(4.39e-05)	(4.16e-05)		(8.31e-05)	(4.64e-05)		(8.01e-05)	(4.05e-05)
12.education		9.06e-09	0.171*		4.23e-08	0.0894**		2.56e-08	0.109**
		(3.05e-05)	(0.153)		(5.94e-05)	(0.0697)		(5.30e-05)	(0.0857)
13.education		0.0729	0.0983*		0.0546*	0.0457**		0.0838	0.0632**
		(0.102)	(0.0930)		(0.0744)	(0.0384)		(0.115)	(0.0536)
male		1.959**	1.591**		1.781**	1.545**		1.910**	1.616**
		(0.423)	(0.159)		(0.352)	(0.144)		(0.379)	(0.152)
add_extraversion		1.003	0.994		1.012	1.005		1.007	1.001
		(0.0331)	(0.0152)		(0.0308)	(0.0144)		(0.0308)	(0.0144)
add_agreeable		0.989	0.986		1.012	0.981		1.007	0.977
		(0.0426)	(0.0197)		(0.0395)	(0.0185)		(0.0397)	(0.0186)
add_conscientious		1.011	1.018		0.987	1.017		0.984	1.016
		(0.0361)	(0.0166)		(0.0331)	(0.0157)		(0.0332)	(0.0158)
add_openness		1.039	0.961*		1.036	0.962*		1.034	0.961*
		(0.0431)	(0.0189)		(0.0398)	(0.0178)		(0.0400)	(0.0179)
add_neuroticism		1.004	0.982		0.978	0.984		0.986	0.988
		(0.0370)	(0.0163)		(0.0329)	(0.0155)		(0.0335)	(0.0157)
hh_income_copy		0.811**	0.852**					0.834**	0.867**
		(0.0291)	(0.0146)					(0.0301)	(0.0148)
race_hispanic		1.711*	0.916		1.630*	0.804		1.715*	0.819
		(0.436)	(0.130)		(0.378)	(0.108)		(0.400)	(0.110)
2.empstat		2.657	3.554**		2.745	4.288**		2.581	4.176**
		(1.701)	(1.086)		(1.737)	(1.233)		(1.644)	(1.212)
3.empstat		1.216	1.451		1.261	1.539		1.087	1.398
		(1.294)	(0.641)		(1.332)	(0.643)		(1.150)	(0.590)
4.empstat		1.11e-07	0.337		5.82e-07	0.339		2.41e-07	0.302
		(0.000432)	(0.356)		(0.00112)	(0.354)		(0.000640)	(0.316)
5.empstat		1.67e-07	0.210**		3.78e-07	0.449		1.41e-07	0.388*
		(0.000253)	(0.116)		(0.000408)	(0.185)		(0.000224)	(0.163)
6.empstat		5.013**	5.737**		6.832**	5.275**		5.790**	4.724**
		(1.611)	(1.033)		(1.818)	(0.855)		(1.570)	(0.777)
7.empstat		7.84e-07	2.322		1.143	1.930		0.921	1.678
		(0.000931)	(1.126)		(1.217)	(0.862)		(0.988)	(0.762)
8.empstat		0.862	1.611*		1.322	1.905**		1.102	1.714*
		(0.531)	(0.360)		(0.706)	(0.400)		(0.595)	(0.365)
9.empstat		1.426	0.969		1.431	1.073		1.365	1.043
		(0.608)	(0.207)		(0.601)	(0.213)		(0.576)	(0.208)
11.empstat		1.604	1.054		3.747**	1.360		3.013*	1.188
		(1.017)	(0.385)		(1.741)	(0.443)		(1.434)	(0.393)
2o.education	1			1			1		
	(0)			(0)			(0)		
3o.education	1			1			1		
	(0)			(0)			(0)		
4o.education	1			1			1		
	(0)			(0)			(0)		
5o.education	1			1			1		
	(0)			(0)			(0)		
6o.education	1			1			1		
	(0)			(0)			(0)		
7o.education	1			1			1		
	(0)			(0)			(0)		
8o.education	1			1			1		
	(0)			(0)			(0)		
9o.education	1			1			1		
	(0)			(0)			(0)		
10o.education	1			1			1		
	(0)			(0)			(0)		
11o.education	1			1			1		
	(0)			(0)			(0)		
12o.education	1			1			1		
	(0)			(0)			(0)		
13o.education	1			1			1		
	(0)			(0)			(0)		
2o.empstat	1			1			1		
	(0)			(0)			(0)		
3o.empstat	1			1			1		
	(0)			(0)			(0)		
4o.empstat	1			1			1		
	(0)			(0)			(0)		
5o.empstat	1			1			1		
	(0)			(0)			(0)		
6o.empstat	1			1			1		
	(0)			(0)			(0)		
7o.empstat	1			1			1		
	(0)			(0)			(0)		
8o.empstat	1			1			1		
	(0)			(0)			(0)		
9o.empstat	1			1			1		
	(0)			(0)			(0)		
11o.empstat	1			1			1		
	(0)			(0)			(0)		
10o.empstat				1			1		
				(0)			(0)		
hh_income2006					0.919**	0.922**			
					(0.0265)	(0.0128)			
10.empstat					1.40e-07	2.11e-07		3.72e-08	5.80e-08
					(0.00148)	(0.000916)		(0.000589)	(0.000375)
Constant		0.216	4.011		0.122	4.023		0.164	4.622*
		(0.297)	(3.411)		(0.157)	(2.924)		(0.212)	(3.384)
									
Observations	4,640	4,640	4,640	4,945	4,945	4,945	4,944	4,944	4,944
seEform in parentheses									
** p<0.01, * p<0.05									
